ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11381,0.88,0.69,0,0.23,1.81
4667,0.47,0.02,0,0.08,0.57
5777,0.01,0,0,0,0.01
5360,0.08,0.02,0,0,0.11
14352,0,0,0.16,0.01,0.17
12454,0,0,0.14,0.01,0.15
86,0.17,0.14,0,0.05,0.35
9809,0.2,0,0,0.02,0.22
9786,0,0.09,0,0.02,0.11
14939,2.01,0.02,0,0.17,2.2
7112,0.9,0.37,0.25,0.24,1.75
13463,0.03,0.02,0,0.01,0.06
12194,0,1.1,0.42,0.33,1.84
13985,0.09,0.01,0,0.01,0.1
8049,0,0,0.02,0,0.02
19765,0.05,0.04,0,0.01,0.11
6736,0.01,0,0,0,0.01
2746,0.3,0.03,0.04,0.03,0.4
11344,0.13,0.09,0,0.02,0.23
18146,0.24,0.28,0,0.07,0.59
16706,6.85,5.09,1.87,1.16,14.98
19199,0.18,0.14,0.05,0.05,0.42
18213,0.01,0.05,0,0.01,0.07
9214,0,0.05,0,0.01,0.05
17656,0.02,0.01,0,0,0.03
4047,0,0,0.08,0,0.08
16338,0.14,0,0,0.01,0.15
2931,0,0,0.49,0,0.49
5955,0.36,0.38,0,0.03,0.76
19538,0.22,0.06,0,0.01,0.28
10157,0.39,0.73,0,0.15,1.27
1386,0.19,0.06,0,0.01,0.26
4434,0,0,0.03,0,0.03
8902,0.33,0.12,0,0.01,0.47
19351,0.09,0.03,0,0,0.13
7338,0.02,0,0,0,0.03
9654,0,0.01,0.13,0,0.14
12364,0.07,0.02,0.06,0.01,0.15
10422,0.03,0,0,0,0.03
8732,0,0,0.04,0,0.04
66,2.03,1.27,0.62,0.3,4.21
18509,0,0,0.16,0,0.16
7874,0.19,0.02,0,0.01,0.22
14785,0.05,0,0,0.01,0.06
16105,0,0,0.07,0,0.07
1121,0.06,0.02,0,0,0.08
5499,0,0.01,0,0,0.01
17429,0.07,0.05,0,0.02,0.14
9345,0.84,4.32,0.11,1.42,6.69
12148,0.69,0.03,0.06,0.06,0.84
1685,4.47,1.2,0.16,0.19,6.03
14314,0,0,0.37,0,0.37
12894,0,0,0.06,0,0.06
14913,0.19,0.05,0,0.01,0.25
11741,0.11,0.11,0,0.05,0.27
2610,0.16,0,0,0.01,0.17
16992,0.87,0.52,0.41,0.06,1.86
19176,0,0.01,0,0,0.02
10565,0.53,0.22,0,0.02,0.77
4489,0,0.01,0,0,0.02
13812,0.09,0,0.12,0.01,0.23
5781,0,0,0.18,0.01,0.19
16721,0.16,0.06,0,0.02,0.23
13860,0,0,0.12,0,0.12
4422,0.03,0,0.62,0,0.66
14927,0,0,0.1,0,0.1
2867,0,0,0.08,0,0.08
3304,0.04,0.13,0,0.03,0.19
17830,2.08,2.04,0.06,0.47,4.64
5472,0,0,0.07,0,0.07
12785,0.3,0.02,0,0,0.32
8716,0.15,0.12,0,0.04,0.31
9063,2.64,2.56,0.16,1.14,6.5
15604,0.78,0.61,0.06,0.2,1.66
10033,0.02,0.01,0,0,0.04
5085,0,0,0.07,0,0.07
9152,0.03,0,0.11,0,0.14
10057,0.02,0.01,0.04,0.01,0.07
19165,1.04,0.81,0,0.27,2.13
9172,0.74,1.01,0,0.2,1.95
19326,0.73,0.21,0,0.03,0.97
5440,1.05,1.25,0.03,0.48,2.81
17395,0.11,1.34,0.4,0.26,2.11
2547,0.15,0.03,0,0.01,0.2
13645,0.26,0.19,0.22,0.04,0.72
5903,0.59,0.46,0.01,0.15,1.22
4231,0,0.01,0,0,0.01
4963,0.03,0.11,0.1,0.01,0.26
1328,0.11,0,0,0.01,0.11
9180,0,0,0.09,0,0.09
4504,0,0,0.05,0,0.05
5872,0.18,0.17,0,0.04,0.39
3089,0.21,0.05,0,0.01,0.27
14710,0.29,0,0,0.03,0.32
13922,0.14,0.12,0,0.08,0.33
7257,0.15,0.04,0,0.01,0.21
1177,0.03,0,0,0,0.03
18801,0,0.03,0,0.01,0.03
17189,0,0,0.04,0,0.04
12851,0.16,0.05,0.04,0.01,0.26
18539,3.39,1.03,0.09,0.44,4.96
1448,0,0.04,0,0.01,0.04
18761,0.04,0,0,0,0.04
7496,0.06,0.09,0,0.02,0.18
10254,0.12,0.03,0,0,0.15
1112,0.05,0,0,0,0.05
1054,0,0,0.4,0,0.4
16978,0,0,0.02,0,0.02
2160,0.14,0.11,0,0.04,0.28
15207,0,0,0.03,0,0.03
12016,0.04,0,0,0,0.04
19759,0.05,0,0,0,0.06
10885,0,0,0.18,0.01,0.19
5214,0.02,0,0,0,0.03
18264,0.5,0.02,0,0.08,0.6
1561,0.06,0,0,0.01,0.07
9418,0.03,0,0,0,0.04
3425,0.91,0.74,0.07,0.09,1.82
1811,2.33,0.3,0,0.59,3.22
5543,0.41,0.02,0,0.04,0.47
1760,0,0,0.07,0,0.07
11587,0.02,0,0,0,0.03
18277,0.04,0.03,0.01,0.01,0.1
397,0,0,0.05,0,0.05
13590,0,0,0.06,0,0.06
15149,0,0,0.12,0,0.12
11742,0.11,0.03,0,0.01,0.15
1669,0,0,0.07,0,0.07
9779,0.29,0.17,0.04,0.05,0.54
16451,0.02,0.01,0,0,0.04
11835,0,0,0.18,0,0.18
2662,0,0.01,0,0,0.02
14578,1.73,2.19,0,0.79,4.7
7938,0.44,0.01,0.25,0.04,0.74
8581,0,0,0.02,0,0.02
6825,0.05,0,0,0,0.05
9850,0.14,0,0,0.01,0.15
5026,0.12,0.06,0,0.02,0.2
10090,0.05,0.01,0,0,0.06
3599,0.04,0,0,0,0.05
16891,0.27,0.24,0,0.06,0.57
12133,0,0.22,0,0.02,0.23
11051,0.13,0.08,0.07,0.02,0.3
2836,0,0,1.2,0.01,1.21
16830,0,0,0.3,0,0.3
14912,0.08,0.01,0,0.01,0.09
8287,0.09,0,0,0.01,0.09
17062,0.22,0,0,0.02,0.23
7760,0.57,0.39,0.02,0.09,1.07
8680,0,0,0.13,0.01,0.14
17920,0,0,0.01,0,0.01
10473,0.35,0.05,0,0.02,0.42
7502,0.52,0.37,0,0.08,0.97
1073,0,0,0.71,0,0.71
18249,0,0,0.23,0,0.23
15008,0.31,0.22,0.45,0.12,1.1
19557,0,0,0.07,0,0.07
18320,0,0,0.05,0,0.05
19336,0.01,0,0,0,0.01
7846,0,0,0.05,0,0.05
14365,0,0.03,0,0.01,0.04
4865,0.73,0.15,0,0.11,0.99
6538,0.01,0.01,0,0,0.02
7481,0.07,0,0,0.01,0.08
1486,0.71,0.52,0.74,0.08,2.06
11223,0.06,0,0,0,0.06
2316,0.24,0,0,0.02,0.26
14530,0,0,0.06,0,0.06
2745,0,0,0.4,0,0.4
9540,0,0,0.26,0,0.26
15697,0.34,0.02,0,0.03,0.39
8445,0,0,0.04,0,0.04
1776,1.05,0.2,0,0.05,1.3
7016,1.38,0.05,0,0.02,1.45
8669,0.18,0.08,0.41,0.04,0.71
19734,0,0.03,0,0.01,0.04
7815,0,0,0.04,0,0.04
13384,0.02,0.01,0,0,0.03
13467,0.07,0,0,0,0.07
14689,0.07,0.02,0,0,0.09
9445,0.09,0,0,0.01,0.1
2729,0.37,0.08,0.14,0.01,0.6
15797,0.58,0.55,0.06,0.28,1.47
5999,0.1,0,3.77,0,3.87
13272,0,0.02,0,0,0.02
18557,0.03,0.09,0,0.01,0.13
14281,0.14,0.06,0,0.02,0.21
19279,0.1,0.08,0,0.03,0.21
1924,0,0,0.13,0,0.13
9091,0.25,0.07,0,0.01,0.33
13895,0.01,0,0,0,0.01
5996,0,0,0.04,0,0.04
3255,0.25,0.03,0,0.02,0.29
17090,0.62,0.24,0,0.08,0.95
12030,0.43,0.4,0.32,0.18,1.33
15522,0,0,0.16,0,0.16
7643,0,0,0.02,0,0.02
16534,0,0,0.02,0,0.02
16687,0.2,0.22,0.08,0.08,0.59
14584,0,0,0.08,0,0.08
12627,0.37,0.29,0,0.1,0.76
12200,0.08,0.06,0.21,0.02,0.36
8660,0.62,0.2,0,0.07,0.88
16145,0.61,0.87,0.02,0.26,1.76
19124,0,0,0.01,0,0.01
9563,1.29,0.97,0,0.23,2.49
9007,0.17,0.13,0,0.04,0.35
2666,0.26,0.2,0,0.07,0.53
7722,0,0,0.11,0,0.11
12544,0.56,0.33,0,0.08,0.97
6089,0,0,0.05,0,0.05
11405,0,0.02,0,0,0.02
15579,0.08,0,0,0.01,0.09
14468,0.08,0.02,0,0,0.1
3322,0.09,0.07,0,0.02,0.19
12933,0.13,0.1,0,0.03,0.26
16296,0.11,0.09,0,0.03,0.22
13385,0.05,0.01,0,0,0.06
3161,0.52,0.25,0,0.07,0.84
9713,0,0,0.36,0.02,0.38
15945,0.4,0.07,0.37,0.01,0.85
7217,0.25,0.02,0,0.03,0.29
2623,0.05,0.01,0,0,0.07
15943,0.02,0.01,0,0,0.02
8874,0.02,0.13,0,0.03,0.19
8549,0.22,0.06,0,0.01,0.29
1292,1.07,1.06,0.24,0.25,2.62
15246,0.15,0,0,0.01,0.16
5871,0,0.48,0,0,0.48
1103,0,0,0.01,0,0.01
36,0.04,0.03,0,0.01,0.09
18652,0,0,0.05,0,0.05
11395,1.86,1.02,0,0.29,3.17
15866,0.76,1.1,0.12,0.65,2.63
412,0,0,0.03,0,0.03
13413,0.15,0.11,0.02,0.02,0.31
17025,0.07,0.05,0.15,0.02,0.29
9880,0.05,0.01,0,0,0.06
14890,0.12,0,0,0.01,0.13
1750,0.75,0.45,0,0.11,1.32
8639,0,0,0.26,0,0.26
16032,0.63,0.59,0.03,0.21,1.46
12014,0,0,0.05,0,0.05
18531,0.42,0.03,0,0.04,0.48
14904,0.03,0.02,0,0.01,0.06
8771,0.01,0.01,0,0,0.03
6070,0.52,0.03,0,0.01,0.55
1552,0.39,0,0.53,0.03,0.96
18756,0.18,0.05,0,0.02,0.25
11952,0,0,0.04,0,0.04
147,0.1,0,0,0.01,0.11
4054,0,0,0.01,0,0.01
17885,0.09,0,0,0.01,0.1
3639,0.05,0.12,0,0.02,0.18
12051,0.18,0,0,0.01,0.19
6392,0.04,0,0,0,0.04
16339,0.33,0.35,0,0.13,0.81
